iteration,p0_x,p0_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,p21_x,p21_y,p22_x,p22_y,p23_x,p23_y,p24_x,p24_y,p25_x,p25_y,p26_x,p26_y,p27_x,p27_y,p28_x,p28_y,p29_x,p29_y,p30_x,p30_y,p31_x,p31_y,p32_x,p32_y,p33_x,p33_y,p34_x,p34_y,p35_x,p35_y,p36_x,p36_y,p37_x,p37_y,p38_x,p38_y,p39_x,p39_y,p40_x,p40_y,p41_x,p41_y,p42_x,p42_y,p43_x,p43_y,p44_x,p44_y,p45_x,p45_y,p46_x,p46_y,p47_x,p47_y,p48_x,p48_y,p49_x,p49_y,global_best_x,global_best_y,global_best_value
20,15.6051,15.9201,15.5921,15.4022,15.7770,15.8462,15.6864,15.6008,15.6481,15.5659,15.4871,15.4839,15.2934,15.2292,15.5073,15.7987,15.8156,15.2875,15.5048,15.6437,15.6006,15.6738,15.6754,15.5300,15.5126,15.5275,15.5334,15.7421,15.6648,15.6184,15.6356,15.5985,15.6225,15.5787,15.6888,15.5702,15.4289,15.7641,15.5872,15.2249,15.6240,15.5543,15.5343,15.7594,15.8687,15.4564,15.4069,15.7382,15.6519,15.5951,15.8725,15.8042,15.6146,15.5832,15.5906,15.5750,15.4067,15.6406,15.6077,15.7256,15.7732,15.5312,15.3173,15.7967,15.5919,15.5337,15.5226,15.5495,15.8232,15.5641,15.5055,15.5898,15.5635,15.5782,15.7109,15.4050,15.5862,15.6115,15.7137,15.6376,15.6871,15.6997,15.7377,15.6756,15.5898,15.6231,15.7183,15.6272,15.7533,15.8819,15.6365,15.5299,15.6306,15.5883,15.8427,15.8680,15.6185,15.6071,15.6434,15.6656,15.629382,15.583850,828.365620
22,15.6303,15.5572,15.5902,15.4454,15.7602,15.8037,15.6023,15.5639,15.6903,15.5195,15.5758,15.5415,15.5348,15.4807,15.4928,15.8260,15.7149,15.4532,15.4591,15.6777,15.6392,15.6104,15.7824,15.4341,15.1515,15.3276,15.5748,15.6494,15.7535,15.7220,15.6146,15.5827,15.8065,15.6906,15.7723,15.5684,15.3989,15.7577,15.6082,15.4958,15.6457,15.7129,15.5523,15.7371,15.6370,15.5803,15.6116,15.5942,15.7156,15.6380,15.7092,15.6607,15.5913,15.6422,15.6226,15.5983,15.5491,15.6042,15.6842,15.8109,15.8400,15.5182,15.4475,15.6905,15.6201,15.5763,15.4441,15.4587,15.8589,15.5634,15.5649,15.5867,15.5706,15.5802,15.6935,15.3994,15.8284,15.4588,15.6345,15.5863,15.6731,15.6714,15.7674,15.6943,15.6111,15.5599,15.6443,15.5915,15.6678,15.6755,15.6428,15.5221,15.6286,15.5812,15.8713,15.9019,15.6137,15.6166,15.6415,15.6531,15.629382,15.583850,828.365620
24,15.5992,15.9983,15.6220,15.5490,15.8420,15.9490,15.7985,15.6396,15.6886,15.5219,15.5174,15.4713,15.6711,15.6308,15.5348,15.7563,15.8649,15.2177,15.5141,15.6478,15.6198,15.6507,15.7547,15.4577,15.4862,15.5078,15.5139,15.7410,15.6542,15.6111,15.4951,15.6058,15.5953,15.5629,15.6702,15.5775,15.5735,15.6309,15.5905,15.2389,15.6293,15.5840,15.6018,15.6459,15.7381,15.5264,15.3258,15.8010,15.7599,15.6634,15.6476,15.6062,15.5809,15.6555,15.6194,15.5920,15.2983,15.6635,15.6902,15.9012,15.6952,15.5620,15.3711,15.7551,15.5880,15.5661,15.4226,15.4687,15.6689,15.5799,15.5475,15.5880,15.5910,15.5812,15.7234,15.3302,15.7869,15.4853,15.6323,15.5859,15.6445,15.6141,15.7234,15.6587,15.6116,15.6022,15.6112,15.5743,15.7575,15.8909,15.6527,15.5594,15.6289,15.5821,15.9561,16.0172,15.6065,15.6320,15.6398,15.6464,15.629382,15.583850,828.365620
26,15.6216,15.6746,15.5827,15.3901,15.7634,15.8142,15.8888,15.6608,15.7274,15.4806,15.5330,15.5057,15.4073,15.3436,15.4267,15.9442,15.7440,15.4046,15.6387,15.5782,15.6269,15.6138,15.6955,15.5163,15.3846,15.4545,15.5987,15.6295,15.7494,15.7167,15.5176,15.6045,15.8857,15.7372,15.7464,15.5685,15.3329,15.8198,15.5985,15.4223,15.6484,15.7455,15.5598,15.7164,15.6710,15.5618,15.5363,15.6476,15.6726,15.6099,15.8435,15.7797,15.5977,15.6238,15.6216,15.5835,15.3142,15.6616,15.6439,15.7122,15.9342,15.4826,15.4316,15.7085,15.5887,15.5531,15.4818,15.4933,15.6490,15.5818,15.6131,15.5845,15.5390,15.5767,15.6858,15.4413,15.8859,15.4234,15.6883,15.6202,15.6614,15.6481,15.8381,15.7517,15.6249,15.5869,15.6998,15.6179,15.6835,15.7134,15.6384,15.5597,15.6297,15.5852,15.5366,15.4610,15.6157,15.6126,15.6454,15.6768,15.629382,15.583850,828.365620
28,15.6150,15.7720,15.5653,15.3208,15.5815,15.5007,15.5883,15.5716,15.6918,15.5182,15.5365,15.5010,15.3821,15.3186,15.6458,15.5555,15.8117,15.3015,15.4402,15.6855,15.6231,15.6489,15.6541,15.5592,15.4123,15.4682,15.5828,15.6484,15.7384,15.7047,15.5818,15.5909,15.6524,15.5974,15.6657,15.5789,15.4125,15.7541,15.6196,15.5244,15.6347,15.6283,15.5492,15.7430,15.7542,15.5180,15.5704,15.6253,15.7112,15.6341,15.7911,15.7391,15.6097,15.6123,15.6228,15.5970,15.3813,15.6443,15.6843,15.8676,15.8862,15.5000,15.4874,15.6756,15.5985,15.5676,15.5036,15.5099,15.8052,15.5677,15.5569,15.5873,15.5383,15.5768,15.7246,15.3333,15.5842,15.6121,15.6590,15.6019,15.6544,15.6339,15.7367,15.6693,15.5961,15.5881,15.7148,15.6250,15.6098,15.5368,15.6610,15.5242,15.6292,15.5831,16.0068,16.0838,15.6267,15.5895,15.6366,15.6264,15.629382,15.583850,828.365620
30,15.6185,15.7240,15.5906,15.4189,15.9109,16.0680,15.8813,15.6590,15.6595,15.5522,15.5313,15.4972,15.4909,15.4345,15.3653,16.0544,15.6689,15.5211,15.4569,15.6766,15.6264,15.6097,15.8245,15.3892,15.6572,15.5988,15.5807,15.6528,15.6903,15.6510,15.6017,15.5883,15.8670,15.7257,15.7478,15.5679,15.6587,15.5618,15.6002,15.3532,15.6417,15.6871,15.6030,15.6349,15.9337,15.4232,15.3526,15.7779,15.7078,15.6313,15.9063,15.8424,15.6006,15.6224,15.6277,15.5852,15.2963,15.6654,15.6427,15.6714,15.6179,15.5873,15.4293,15.7123,15.5782,15.5521,15.6753,15.6122,15.6712,15.5797,15.5216,15.5890,15.5795,15.5800,15.7619,15.2401,15.8138,15.4684,15.6884,15.6204,15.6255,15.5760,15.6932,15.6351,15.5976,15.5968,15.6471,15.5921,15.7430,15.8559,15.6546,15.5348,15.6294,15.5838,15.7035,15.6821,15.6074,15.6301,15.6454,15.6777,15.629382,15.583850,828.365620
32,15.6080,15.8624,15.5529,15.2636,15.6418,15.6048,15.8177,15.6399,15.6918,15.5182,15.5680,15.5309,15.3271,15.2586,15.6492,15.5490,15.7942,15.3281,15.5746,15.6130,15.6241,15.6376,15.7644,15.4488,15.2352,15.3745,15.5457,15.7018,15.6640,15.6223,15.5107,15.6043,15.7040,15.6284,15.6574,15.5800,15.3115,15.8385,15.5706,15.1822,15.6433,15.7011,15.5771,15.6867,15.6897,15.5520,15.5506,15.6387,15.7352,15.6482,15.8229,15.7685,15.5945,15.6318,15.6157,15.6015,15.5474,15.6039,15.6591,15.7571,15.8464,15.5127,15.5218,15.6520,15.6096,15.5679,15.3638,15.4254,15.6376,15.5831,15.4875,15.5906,15.5558,15.5782,15.6364,15.5655,15.7954,15.4799,15.6818,15.6162,15.6697,15.6645,15.8931,15.7949,15.5825,15.5966,15.6692,15.6029,15.6959,15.7430,15.6241,15.5930,15.6294,15.5840,15.8029,15.8137,15.6215,15.6005,15.6480,15.6928,15.629382,15.583850,828.365620
34,15.6010,15.9539,15.5831,15.3907,15.6993,15.7032,15.7587,15.6227,15.6937,15.5162,15.5318,15.4976,15.4621,15.4041,15.3931,16.0052,15.8386,15.2584,15.5468,15.6281,15.6256,15.6209,15.6741,15.5391,15.5318,15.5321,15.4916,15.7780,15.6665,15.6249,15.5815,15.5916,15.7295,15.6436,15.6924,15.5753,15.4802,15.7032,15.6439,15.6934,15.6362,15.6408,15.5424,15.7553,15.8431,15.4710,15.3932,15.7497,15.6450,15.5934,15.7182,15.6668,15.6134,15.6056,15.6171,15.5994,15.0859,15.7168,15.6864,15.9060,15.7708,15.5373,15.3669,15.7516,15.6132,15.5741,15.5754,15.5522,15.9004,15.5586,15.5823,15.5861,15.5573,15.5783,15.7834,15.1832,15.7750,15.4926,15.6772,15.6134,15.6472,15.6196,15.6960,15.6371,15.5708,15.6032,15.6940,15.6147,15.7092,15.7750,15.6654,15.5146,15.6294,15.5838,15.8800,15.9158,15.6071,15.6307,15.6414,15.6542,15.629382,15.583850,828.365620
36,15.6381,15.4701,15.5935,15.4332,15.8887,16.0289,15.8701,15.6557,15.7146,15.4942,15.5300,15.4970,15.4612,15.4027,15.6151,15.6097,15.7354,15.4191,15.4887,15.6593,15.6252,15.6252,15.7181,15.4953,15.3593,15.4405,15.6302,15.5827,15.6779,15.6374,15.5244,15.6016,15.7467,15.6539,15.7094,15.5731,15.7957,15.4510,15.5999,15.3737,15.6357,15.6371,15.5869,15.6669,15.8820,15.4505,15.5829,15.6165,15.6614,15.6032,15.9266,15.8643,15.5835,15.6464,15.6262,15.5875,15.2296,15.6817,15.6636,15.7807,15.8675,15.5056,15.4487,15.6993,15.5863,15.5554,15.3840,15.4380,15.6287,15.5839,15.5524,15.5875,15.6341,15.5842,15.6521,15.5247,15.7105,15.5330,15.6770,15.6133,15.6626,15.6504,15.7891,15.7116,15.6017,15.5916,15.6633,15.6000,15.7509,15.8749,15.6337,15.5754,15.6294,15.5839,15.7162,15.6989,15.6156,15.6129,15.6443,15.6712,15.629382,15.583850,828.365620
38,15.6133,15.7933,15.5656,15.3166,15.8057,15.8862,15.5606,15.5633,15.6668,15.5445,15.6014,15.5591,15.4723,15.4149,15.5242,15.7718,15.8241,15.2810,15.5130,15.6462,15.6223,15.6539,15.7698,15.4436,15.4951,15.5125,15.5126,15.7485,15.7241,15.6886,15.5524,15.5969,15.7731,15.6697,15.7030,15.5738,15.2692,15.8722,15.6077,15.4346,15.6378,15.6543,15.5490,15.7416,15.5814,15.6092,15.2591,15.8436,15.6971,15.6250,15.8161,15.7600,15.6202,15.5964,15.6183,15.5977,15.2035,15.6881,15.6643,15.7842,15.7924,15.5303,15.3993,15.7306,15.5983,15.5630,15.6320,15.5855,15.8756,15.5609,15.5839,15.5860,15.5617,15.5786,15.7225,15.3416,15.6725,15.5569,15.6503,15.5967,15.6541,15.6334,15.7765,15.7015,15.5772,15.5997,15.7025,15.6187,15.6931,15.7365,15.6625,15.5196,15.6294,15.5838,15.7815,15.7853,15.6181,15.6075,15.6435,15.6662,15.629382,15.583850,828.365620
